id,condition,trial,rt_ms,correct
P01,cong,1,485,true
P01,cong,2,619,true
P01,cong,3,594,true
P01,cong,4,538,true
P01,cong,5,462,true
P01,cong,6,639,true
P01,cong,7,529,true
P01,cong,8,551,true
P01,cong,9,610,true
P01,cong,10,606,true
P01,cong,11,467,true
P01,cong,12,557,true
P01,cong,13,513,true
P01,cong,14,523,true
P01,cong,15,507,true
P01,cong,16,542,false
P01,cong,17,560,false
P01,cong,18,537,true
P01,cong,19,562,true
P01,cong,20,570,true
P01,incong,1,696,true
P01,incong,2,545,true
P01,incong,3,636,true
P01,incong,4,617,true
P01,incong,5,665,true
P01,incong,6,631,true
P01,incong,7,701,true
P01,incong,8,654,true
P01,incong,9,636,true
P01,incong,10,607,true
P01,incong,11,686,true
P01,incong,12,629,true
P01,incong,13,644,true
P01,incong,14,601,true
P01,incong,15,584,true
P01,incong,16,622,true
P01,incong,17,652,true
P01,incong,18,581,true
P01,incong,19,622,true
P01,incong,20,681,true
P02,cong,1,496,true
P02,cong,2,485,true
P02,cong,3,430,true
P02,cong,4,485,true
P02,cong,5,549,true
P02,cong,6,564,true
P02,cong,7,475,true
P02,cong,8,453,true
P02,cong,9,507,true
P02,cong,10,450,false
P02,cong,11,421,true
P02,cong,12,449,true
P02,cong,13,627,true
P02,cong,14,472,true
P02,cong,15,515,false
P02,cong,16,469,true
P02,cong,17,461,true
P02,cong,18,441,true
P02,cong,19,525,true
P02,cong,20,465,true
P02,incong,1,580,true
P02,incong,2,563,true
P02,incong,3,518,false
P02,incong,4,585,true
P02,incong,5,547,true
P02,incong,6,626,true
P02,incong,7,566,true
P02,incong,8,501,true
P02,incong,9,540,true
P02,incong,10,542,true
P02,incong,11,427,true
P02,incong,12,554,true
P02,incong,13,614,true
P02,incong,14,480,true
P02,incong,15,499,true
P02,incong,16,554,true
P02,incong,17,673,true
P02,incong,18,511,true
P02,incong,19,514,true
P02,incong,20,461,false
P03,cong,1,524,true
P03,cong,2,507,true
P03,cong,3,529,true
P03,cong,4,493,true
P03,cong,5,690,true
P03,cong,6,459,true
P03,cong,7,470,true
P03,cong,8,702,true
P03,cong,9,424,true
P03,cong,10,553,true
P03,cong,11,494,true
P03,cong,12,445,true
P03,cong,13,417,true
P03,cong,14,518,true
P03,cong,15,511,false
P03,cong,16,423,true
P03,cong,17,410,true
P03,cong,18,523,true
P03,cong,19,499,true
P03,cong,20,426,true
P03,incong,1,600,true
P03,incong,2,460,true
P03,incong,3,577,true
P03,incong,4,582,true
P03,incong,5,654,true
P03,incong,6,463,false
P03,incong,7,566,false
P03,incong,8,482,true
P03,incong,9,609,true
P03,incong,10,520,true
P03,incong,11,471,true
P03,incong,12,514,true
P03,incong,13,497,true
P03,incong,14,585,true
P03,incong,15,610,true
P03,incong,16,564,true
P03,incong,17,524,true
P03,incong,18,529,true
P03,incong,19,620,true
P03,incong,20,558,true
P04,cong,1,440,true
P04,cong,2,449,true
P04,cong,3,505,true
P04,cong,4,439,true
P04,cong,5,493,true
P04,cong,6,533,true
P04,cong,7,468,true
P04,cong,8,549,true
P04,cong,9,421,true
P04,cong,10,514,true
P04,cong,11,508,true
P04,cong,12,548,true
P04,cong,13,424,true
P04,cong,14,562,true
P04,cong,15,476,true
P04,cong,16,405,true
P04,cong,17,577,true
P04,cong,18,457,false
P04,cong,19,563,true
P04,cong,20,513,true
P04,incong,1,634,true
P04,incong,2,651,true
P04,incong,3,622,true
P04,incong,4,612,true
P04,incong,5,544,true
P04,incong,6,607,true
P04,incong,7,502,true
P04,incong,8,626,true
P04,incong,9,625,true
P04,incong,10,594,true
P04,incong,11,580,false
P04,incong,12,587,true
P04,incong,13,578,true
P04,incong,14,516,true
P04,incong,15,659,true
P04,incong,16,588,false
P04,incong,17,540,true
P04,incong,18,527,true
P04,incong,19,702,true
P04,incong,20,628,true
P05,cong,1,568,true
P05,cong,2,516,true
P05,cong,3,513,false
P05,cong,4,520,true
P05,cong,5,572,true
P05,cong,6,580,true
P05,cong,7,571,true
P05,cong,8,621,true
P05,cong,9,493,true
P05,cong,10,543,false
P05,cong,11,457,true
P05,cong,12,530,true
P05,cong,13,608,true
P05,cong,14,562,true
P05,cong,15,464,true
P05,cong,16,552,true
P05,cong,17,478,true
P05,cong,18,463,true
P05,cong,19,528,true
P05,cong,20,562,true
P05,incong,1,458,true
P05,incong,2,661,true
P05,incong,3,655,true
P05,incong,4,500,false
P05,incong,5,512,false
P05,incong,6,631,true
P05,incong,7,581,true
P05,incong,8,626,true
P05,incong,9,477,true
P05,incong,10,565,true
P05,incong,11,651,true
P05,incong,12,666,true
P05,incong,13,518,false
P05,incong,14,486,true
P05,incong,15,654,true
P05,incong,16,683,false
P05,incong,17,554,false
P05,incong,18,552,true
P05,incong,19,662,true
P05,incong,20,533,true
P06,cong,1,530,true
P06,cong,2,524,true
P06,cong,3,587,true
P06,cong,4,508,true
P06,cong,5,527,true
P06,cong,6,523,true
P06,cong,7,479,false
P06,cong,8,455,true
P06,cong,9,601,true
P06,cong,10,456,true
P06,cong,11,568,true
P06,cong,12,449,true
P06,cong,13,446,true
P06,cong,14,529,true
P06,cong,15,539,true
P06,cong,16,556,true
P06,cong,17,397,true
P06,cong,18,458,true
P06,cong,19,536,true
P06,cong,20,498,true
P06,incong,1,613,true
P06,incong,2,599,true
P06,incong,3,551,true
P06,incong,4,606,true
P06,incong,5,638,true
P06,incong,6,601,true
P06,incong,7,571,true
P06,incong,8,606,true
P06,incong,9,605,true
P06,incong,10,632,true
P06,incong,11,541,true
P06,incong,12,525,true
P06,incong,13,592,true
P06,incong,14,469,true
P06,incong,15,549,true
P06,incong,16,532,true
P06,incong,17,586,true
P06,incong,18,598,true
P06,incong,19,607,true
P06,incong,20,756,false
P07,cong,1,523,true
P07,cong,2,566,true
P07,cong,3,490,true
P07,cong,4,747,true
P07,cong,5,455,true
P07,cong,6,536,true
P07,cong,7,444,true
P07,cong,8,505,true
P07,cong,9,433,true
P07,cong,10,581,true
P07,cong,11,466,true
P07,cong,12,463,true
P07,cong,13,567,true
P07,cong,14,530,true
P07,cong,15,448,true
P07,cong,16,438,false
P07,cong,17,514,true
P07,cong,18,504,true
P07,cong,19,489,false
P07,cong,20,437,true
P07,incong,1,640,true
P07,incong,2,564,true
P07,incong,3,549,true
P07,incong,4,502,true
P07,incong,5,574,true
P07,incong,6,596,true
P07,incong,7,658,true
P07,incong,8,651,true
P07,incong,9,529,true
P07,incong,10,645,true
P07,incong,11,665,true
P07,incong,12,537,true
P07,incong,13,593,true
P07,incong,14,507,true
P07,incong,15,553,true
P07,incong,16,573,true
P07,incong,17,527,true
P07,incong,18,569,true
P07,incong,19,567,true
P07,incong,20,567,true
P08,cong,1,479,true
P08,cong,2,405,true
P08,cong,3,450,true
P08,cong,4,420,true
P08,cong,5,392,true
P08,cong,6,526,true
P08,cong,7,558,true
P08,cong,8,451,true
P08,cong,9,467,false
P08,cong,10,382,true
P08,cong,11,368,true
P08,cong,12,459,true
P08,cong,13,456,true
P08,cong,14,321,true
P08,cong,15,489,true
P08,cong,16,501,true
P08,cong,17,406,true
P08,cong,18,521,true
P08,cong,19,442,true
P08,cong,20,530,true
P08,incong,1,572,true
P08,incong,2,478,true
P08,incong,3,611,true
P08,incong,4,568,true
P08,incong,5,504,true
P08,incong,6,841,true
P08,incong,7,566,true
P08,incong,8,482,true
P08,incong,9,572,true
P08,incong,10,561,true
