participant_id,trial_type,response_ms,is_correct,block
A01,repeat,410,true,1
A01,repeat,430,true,2
A01,switch,500,true,1
A01,switch,540,false,2
A02,repeat,390,true,1
A02,repeat,410,true,2
A02,switch,490,true,1
A02,switch,510,true,2
A03,repeat,440,true,1
A03,repeat,460,false,2
A03,switch,530,true,1
A03,switch,550,true,2
A04,repeat,405,true,1
A04,repeat,425,true,2
A04,switch,515,true,1
A04,switch,535,true,2
A01,repeat,410,true,1
A02,practice,480,true,1
A03,switch,50,true,2
A99,repeat,420,true,1
A04,switch,525,NA,1
