"scale","beta_prior_sd","sigma_y_prior_rate","kind","id","assumed_sd","status","mean","low","high","prob_positive","mcse","sigma_y_median","prob_sigma_y_below_0_1","max_rhat","min_ess_bulk","min_ess_tail","divergences","treedepth","min_ebfmi","reason"
0.5,1,1,"sd","case01",0.35,"PASS",0.620726655163922,0.52764205528745,0.715509243305651,1,0.000457090003186362,0.80479806801115,0,1.00043987670085,7609.15512961857,10131.6524646294,0,0,1.01106406577226,""
0.75,1,1,"sd","case02",0.525,"PASS",0.696773372499878,0.588605452148611,0.80718526546584,1,0.000581480917887549,0.761113946861832,0,1.00060591153493,6770.3913826609,9841.56755659721,0,0,0.990949596295087,""
1,1,1,"sd","case03",0.7,"PASS",0.842328582111612,0.700240347542454,0.991018046625812,1,0.000931059109144762,0.670881382843866,0,1.00034456490869,7111.52648266293,8981.54544859533,0,0,0.954723723451448,""
1.1,1,1,"sd","case04",0.77,"PASS",0.939723333207528,0.767913815586816,1.12788912432993,1,0.00131926299934064,0.603841199534828,0,1.00074537494497,6287.01777829335,5965.96522936124,0,0,0.915678529906612,""
1.25,1,1,"sd","case05",0.875,"PASS",1.17582105941908,0.928528121731997,1.43295037210686,1,0.00229185263556756,0.379521365772934,0.0966875,1.00360377428057,3869.0990447904,3139.70357200996,0,0,0.859876289247844,""
1.5,1,1,"sd","case06",1.05,"PASS",1.30927225035068,1.09425128480114,1.55858919633856,1,0.00177265496737133,0.146321878971178,0.3605,1.00162383506925,5247.19625059278,4605.15297701854,0,0,0.956389560612703,""
1,0.5,1,"beta_prior","case07",0.7,"PASS",0.821633923102491,0.680532406410934,0.969226148106917,1,0.000910023511478222,0.679003080026868,0,1.00082864471691,7125.92800429627,9199.42943588931,0,0,0.981213470625292,""
1,2,1,"beta_prior","case08",0.7,"PASS",0.845980467775476,0.702362113466123,0.999324932826307,1,0.000907201069893737,0.669769745259568,0,1.0007704939701,7383.14896213319,9277.08689706147,0,0,0.994289069508348,""
1,1,0.5,"sigma_prior","case09",0.7,"PASS",0.840901574115434,0.69893007494109,0.989180750545373,1,0.00100367124533999,0.673474816869565,0,1.00056876392194,6829.37676369194,8926.38725342981,0,0,0.982286020358957,""
1,1,2,"sigma_prior","case10",0.7,"PASS",0.846401203957123,0.703985124531051,0.99716526582222,1,0.00095806260144487,0.666030573125015,0,1.00071240583762,6662.61549768082,7831.43445978605,0,0,0.953919317008212,""
1.25,0.5,1,"beta_prior","case11",0.875,"PASS",1.10006372571234,0.877420850770344,1.34662872747525,1,0.00213530335976609,0.446616143666321,0.05025,1.00099871005982,4422.65982490034,3148.29973850737,0,0,0.854692276572018,""
1.25,2,1,"beta_prior","case12",0.875,"PASS",1.20039337575297,0.945696118859458,1.46277588643152,1,0.00237465473499627,0.355794659461454,0.1168125,1.00122943701206,3839.13069544408,3270.66647742733,0,0,0.86753321639626,""
1.25,1,0.5,"sigma_prior","case13",0.875,"PASS",1.16430475853817,0.92190483474136,1.42363328389255,1,0.00244352752862058,0.395975609696743,0.0763125,1.00059882074108,3584.30229350457,2629.63472413709,0,0,0.857833327786172,""
1.25,1,2,"sigma_prior","case14",0.875,"PASS",1.19213335730341,0.945052200066878,1.44727811480459,1,0.00228521271262167,0.348477657324746,0.11775,1.00102762779449,3984.82342543853,3268.09281736648,0,0,0.844275711937672,""
