device_id,load_condition,reading,latency_ms,valid
D01,baseline,1,107,true
D01,baseline,2,114,true
D01,baseline,3,121,true
D01,baseline,4,111,true
D01,baseline,5,118,true
D01,baseline,6,108,true
D01,baseline,7,115,true
D01,baseline,8,122,true
D01,baseline,9,112,true
D01,baseline,10,119,true
D01,baseline,11,109,true
D01,baseline,12,116,false
D01,high_load,1,152,true
D01,high_load,2,136,true
D01,high_load,3,141,true
D01,high_load,4,146,true
D01,high_load,5,151,true
D01,high_load,6,135,true
D01,high_load,7,140,true
D01,high_load,8,145,true
D01,high_load,9,150,true
D01,high_load,10,134,true
D01,high_load,11,139,true
D01,high_load,12,144,false
D02,baseline,1,122,true
D02,baseline,2,112,true
D02,baseline,3,119,true
D02,baseline,4,126,true
D02,baseline,5,116,true
D02,baseline,6,123,true
D02,baseline,7,113,true
D02,baseline,8,120,true
D02,baseline,9,110,true
D02,baseline,10,117,true
D02,baseline,11,124,true
D02,baseline,12,114,false
D02,high_load,1,150,true
D02,high_load,2,155,true
D02,high_load,3,160,true
D02,high_load,4,144,true
D02,high_load,5,149,true
D02,high_load,6,154,true
D02,high_load,7,159,true
D02,high_load,8,143,true
D02,high_load,9,148,true
D02,high_load,10,153,true
D02,high_load,11,158,true
D02,high_load,12,142,false
D03,baseline,1,120,true
D03,baseline,2,127,true
D03,baseline,3,117,true
D03,baseline,4,124,true
D03,baseline,5,114,true
D03,baseline,6,121,true
D03,baseline,7,128,true
D03,baseline,8,118,true
D03,baseline,9,125,true
D03,baseline,10,115,true
D03,baseline,11,122,true
D03,baseline,12,129,false
D03,high_load,1,148,true
D03,high_load,2,153,true
D03,high_load,3,158,true
D03,high_load,4,163,true
D03,high_load,5,147,true
D03,high_load,6,152,true
D03,high_load,7,157,true
D03,high_load,8,162,true
D03,high_load,9,146,true
D03,high_load,10,151,true
D03,high_load,11,156,true
D03,high_load,12,161,false
D04,baseline,1,118,true
D04,baseline,2,125,true
D04,baseline,3,132,true
D04,baseline,4,122,true
D04,baseline,5,129,true
D04,baseline,6,119,true
D04,baseline,7,126,true
D04,baseline,8,133,true
D04,baseline,9,123,true
D04,baseline,10,130,true
D04,baseline,11,120,true
D04,baseline,12,127,false
D04,high_load,1,167,true
